,url,Title,http_Request,API_endpoint,Code
67,https://apidocs.document360.com/apidocs/publishes-an-category-with-an-id,Publishes an category with an id,POST,/v2/Categories/{categoryId}/publish,"{
 ""user_id"": ""string"",
 ""version_number"": 1,
 ""publish_message"": ""string""
}
curl --request POST \
  --url https://apihub.document360.io/v2/Categories/%7BcategoryId%7D/publish \
  --header 'accept: application/json' \
  --header 'api_token: REPLACE_KEY_VALUE' \
  --header 'content-type: application/json-patch+json' \
  --data '{
 ""user_id"": ""string"",
 ""version_number"": 1,
 ""publish_message"": ""string""
}'


"
68,https://apidocs.document360.com/apidocs/publishes-multiple-categories,Publishes multiple categories,POST,/v2/Categories/bulkpublish/{langCode},"[
 {
  ""category_id"": ""string"",
  ""user_id"": ""string"",
  ""version_number"": 1,
  ""publish_message"": ""string""
 }
]
curl --request POST \
  --url https://apihub.document360.io/v2/Categories/bulkpublish/en \
  --header 'accept: application/json' \
  --header 'api_token: REPLACE_KEY_VALUE' \
  --header 'content-type: application/json-patch+json' \
  --data '[
 {
  ""category_id"": ""string"",
  ""user_id"": ""string"",
  ""version_number"": 1,


]'


"
69,https://apidocs.document360.com/apidocs/update-a-category-page-content-with-the-id,Update a category page content with the ID,PUT,/v2/Categories/{categoryId}/content/{langCode},"{
 ""title"": ""string"",
 ""content"": ""string"",
 ""html_content"": ""string"",
 ""block_content"": ""string"",
 ""version_number"": 1,
 ""translation_option"": ""string"",
 ""source"": ""string"",
 ""updated_by"": ""string""
}
curl --request PUT \
  --url https://apihub.document360.io/v2/Categories/%7BcategoryId%7D/content/en \
  --header 'accept: application/json' \
  --header 'api_token: REPLACE_KEY_VALUE' \
  --header 'content-type: application/json-patch+json' \
  --data '{
 ""title"": ""string"",
 ""content"": ""string"",
 ""html_content"": ""string"",
 ""block_content"": ""string"",


 ""source"": ""string"",
 ""updated_by"": ""string""
}'


"
70,https://apidocs.document360.com/apidocs/update-the-category-description,Update the category description,PUT,/v2/Categories/{categoryId}/{langCode}/updateDescription,"curl --request PUT \
  --url https://apihub.document360.io/v2/Categories/%7BcategoryId%7D/en/updateDescription \
  --header 'accept: application/json' \
  --header 'api_token: REPLACE_KEY_VALUE'

"
71,https://apidocs.document360.com/apidocs/update-a-category,Update a category with the ID,PUT,/v2/Categories/{categoryId},"{
 ""name"": ""string"",
 ""order"": 1,
 ""parent_category_id"": ""string"",
 ""hidden"": true,
 ""icon"": ""string"",
 ""language"": ""string""
}
curl --request PUT \
  --url https://apihub.document360.io/v2/Categories/%7BcategoryId%7D \
  --header 'accept: application/json' \
  --header 'api_token: REPLACE_KEY_VALUE' \
  --header 'content-type: application/json-patch+json' \
  --data '{
 ""name"": ""string"",
 ""order"": 1,
 ""parent_category_id"": ""string"",
 ""hidden"": true,


}'


"
72,https://apidocs.document360.com/apidocs/update-settings-for-the-category,Update settings for the category,PUT,/v2/Categories/{categoryId}/{langCode}/settings,"{
 ""slug"": ""string"",
 ""seo_title"": ""string"",
 ""description"": ""string"",
 ""allow_comments"": true,
 ""show_table_of_contents"": true,
 ""tags"": [
  ""string""
 ],
 ""status_indicator"": 1,


 ""related_articles"": [
  ""string""
 ],
 ""content_type"": 1
}
curl --request PUT \
  --url https://apihub.document360.io/v2/Categories/%7BcategoryId%7D/en/settings \
  --header 'accept: application/json' \
  --header 'api_token: REPLACE_KEY_VALUE' \
  --header 'content-type: application/json-patch+json' \
  --data '{
 ""slug"": ""string"",
 ""seo_title"": ""string"",
 ""description"": ""string"",
 ""allow_comments"": true,


  ""string""
 ],
 ""status_indicator"": 1,
 ""status_indicator_expiry_date"": ""string"",
 ""exclude_from_search"": true,
 ""related_articles"": [
  ""string""


"
73,https://apidocs.document360.com/apidocs/update-multiple-page-categories,Update multiple page categories,PUT,/v2/Categories/bulkupdateContent,"[
 {
  ""category_id"": ""string"",
  ""lang_code"": ""string"",
  ""title"": ""string"",
  ""content"": ""string"",
  ""html_content"": ""string"",
  ""block_content"": ""string"",
  ""version_number"": 1,
  ""translation_option"": ""string"",


 }
]
curl --request PUT \
  --url https://apihub.document360.io/v2/Categories/bulkupdateContent \
  --header 'accept: application/json' \
  --header 'api_token: REPLACE_KEY_VALUE' \
  --header 'content-type: application/json-patch+json' \
  --data '[
 {
  ""category_id"": ""string"",
  ""lang_code"": ""string"",
  ""title"": ""string"",


  ""block_content"": ""string"",
  ""version_number"": 1,
  ""translation_option"": ""string"",
  ""source"": ""string"",
  ""updated_by"": ""string""
 }
]'


"
74,https://apidocs.document360.com/apidocs/fork-category-page-with-an-id,Fork category page with an id,PUT,/v2/Categories/{categoryId}/fork,"{
 ""version_number"": 1,
 ""user_id"": ""string"",
 ""lang_code"": ""string""
}
curl --request PUT \
  --url https://apihub.document360.io/v2/Categories/%7BcategoryId%7D/fork \
  --header 'accept: application/json' \
  --header 'api_token: REPLACE_KEY_VALUE' \
  --header 'content-type: application/json-patch+json' \
  --data '{
 ""version_number"": 1,
 ""user_id"": ""string"",
 ""lang_code"": ""string""
}'


"
75,https://apidocs.document360.com/apidocs/update-the-category-type,Update the Category Type,PUT,/v2/Categories/{categoryId}/updateCategoryType,"curl --request PUT \
  --url https://apihub.document360.io/v2/Categories/%7BcategoryId%7D/updateCategoryType \
  --header 'accept: application/json' \
  --header 'api_token: REPLACE_KEY_VALUE'

"
76,https://apidocs.document360.com/apidocs/delete-category-version,Delete category Version,DELETE,/v2/Categories/{categoryId}/{langCode}/version/{versionNumber},"curl --request DELETE \
  --url https://apihub.document360.io/v2/Categories/%7BcategoryId%7D/en/version/%7BversionNumber%7D \
  --header 'accept: application/json' \
  --header 'api_token: REPLACE_KEY_VALUE'

"
77,https://apidocs.document360.com/apidocs/delete-multiple-category-versions,Delete multiple category versions,DELETE,/v2/Categories/bulkdelete-category-versions,"curl --request DELETE \
  --url https://apihub.document360.io/v2/Categories/bulkdelete-category-versions \
  --header 'accept: application/json' \
  --header 'api_token: REPLACE_KEY_VALUE'

"
78,https://apidocs.document360.com/apidocs/delete-a-category,Deletes an category with an ID,DELETE,/v2/Categories/{categoryId},"curl --request DELETE \
  --url https://apihub.document360.io/v2/Categories/%7BcategoryId%7D \
  --header 'accept: application/json' \
  --header 'api_token: REPLACE_KEY_VALUE'

"
